Transaction ID,Date,Customer ID,Gender,Product Category,Quantity,Price per Unit,Remise (%),CA_Brut,CA_Net,TVA
1,2023-01-02,CUST1,Female,Clothing,1,69,5,69,65.55,13.11
2,2023-01-03,CUST2,Male,Beauty,3,145,20,435,348.0,69.60000000000001
3,2023-01-04,CUST3,Female,Clothing,4,137,15,548,465.8,93.16000000000001
4,2023-01-05,CUST4,Male,Clothing,2,198,0,396,396.0,79.2
5,2023-01-06,CUST5,Male,Beauty,2,138,10,276,248.4,49.68000000000001
6,2023-01-07,CUST6,Female,Beauty,2,93,15,186,158.1,31.62
7,2023-01-08,CUST7,Female,Clothing,1,126,20,126,100.80000000000001,20.160000000000004
8,2023-01-09,CUST8,Male,Beauty,5,55,20,275,220.0,44.0
9,2023-01-10,CUST9,Female,Electronics,5,85,10,425,382.5,76.5
10,2023-01-11,CUST10,Male,Electronics,5,166,15,830,705.5,141.1
11,2023-01-12,CUST11,Male,Beauty,5,152,15,760,646.0,129.20000000000002
12,2023-01-13,CUST12,Male,Beauty,1,142,0,142,142.0,28.400000000000002
13,2023-01-14,CUST13,Female,Clothing,3,28,5,84,79.8,15.96
14,2023-01-15,CUST14,Male,Electronics,1,118,5,118,112.1,22.42
15,2023-01-16,CUST15,Female,Electronics,2,22,5,44,41.8,8.36
16,2023-01-17,CUST16,Male,Beauty,3,123,0,369,369.0,73.8
17,2023-01-18,CUST17,Female,Clothing,1,174,5,174,165.29999999999998,33.059999999999995
18,2023-01-19,CUST18,Female,Clothing,3,67,20,201,160.8,32.160000000000004
19,2023-01-20,CUST19,Female,Electronics,5,58,15,290,246.5,49.300000000000004
20,2023-01-21,CUST20,Male,Clothing,3,153,20,459,367.20000000000005,73.44000000000001
