Transaction ID,Date,Customer ID,Gender,Product Category,Quantity,Price per Unit,Remise (%)
1,2023-01-02,CUST1,Female,Clothing,1,69,5
2,2023-01-03,CUST2,Male,Beauty,3,145,20
3,2023-01-04,CUST3,Female,Clothing,4,137,15
4,2023-01-05,CUST4,Male,Clothing,2,198,0
5,2023-01-06,CUST5,Male,Beauty,2,138,10
6,2023-01-07,CUST6,Female,Beauty,2,93,15
7,2023-01-08,CUST7,Female,Clothing,1,126,20
8,2023-01-09,CUST8,Male,Beauty,5,55,20
9,2023-01-10,CUST9,Female,Electronics,5,85,10
10,2023-01-11,CUST10,Male,Electronics,5,166,15
11,2023-01-12,CUST11,Male,Beauty,5,152,15
12,2023-01-13,CUST12,Male,Beauty,1,142,0
13,2023-01-14,CUST13,Female,Clothing,3,28,5
14,2023-01-15,CUST14,Male,Electronics,1,118,5
15,2023-01-16,CUST15,Female,Electronics,2,22,5
16,2023-01-17,CUST16,Male,Beauty,3,123,0
17,2023-01-18,CUST17,Female,Clothing,1,174,5
18,2023-01-19,CUST18,Female,Clothing,3,67,20
19,2023-01-20,CUST19,Female,Electronics,5,58,15
20,2023-01-21,CUST20,Male,Clothing,3,153,20
